Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tipo:
yzDnkR90sIw,¿Pagarías aquí? El problema es que no hay bluffs,"Jun 25, 2026",90,249,short
Ctgyv_XHRQc,Cómo planificar tus sizings en función del SPR,"Jun 24, 2026",80,25,short
v0yP6b8UqxI,Cómo adaptar tus decisiones al tamaño de apuesta,"Jun 22, 2026",25,25,short
Sv_Kg2fkrcE,SUBE A MID STAKES por este camino. Que hacer y no hacer en las mesas.,"Jun 22, 2026",4617,61,video
-9P9S41Vc_c,Sube tu winrate 5bbs/100 aplicando estas estrategias VS RECREACIONALES.,"Jun 22, 2026",5050,48,video
_pTTZoBHsas,Cómo evitar aislarte contra manos mejores,"Jun 18, 2026",53,40,short
Z4O-9APCC3E,te cuesta ganar DINERO en el POKER? Mira esta clase VS FISHES y empieza a subir tu winrate locamente,"Jun 15, 2026",3979,96,video
XUVaZufIEvE,HUD vs lógica: qué importa realmente en el poker,"Jun 14, 2026",56,27,short
WfiygZ9QjDM,4BET POTS CON INI! Tips principales,"Jun 10, 2026",2472,67,video
81XYYcAeOa4,¿Tiene sentido donkear 1bb con basura total desde BB?,"Jun 10, 2026",32,32,short
tMBz7WHiz14,Overbet vs fish: cuándo hacerlas y cuándo no,"Jun 6, 2026",63,59,short
PaILb9Eq9EA,El mejor sistema para evaluar nuestros progresos. Ponemos filtro de Vpip true de Yisus y Stiben...,"Jun 5, 2026",3951,139,video
eqSs9D3vbGY,4bet pot: ¿call o all-in en flop?,"Jun 3, 2026",87,33,short
weL1swF7UEg,Revision de manos de alumno nl50. Principales ERRORES del metagame.,"Jun 3, 2026",2581,83,video
zYHZOXz1nos,BTN vs BB con iniciativa,"Jun 1, 2026",59,30,short
wJjZtGqK5d4,Equity + fold equity (BB vs SB 4bet pot),"May 30, 2026",75,44,short
r8PfNvNBv-A,Defender la BB y ser agresivos postflop (BB vs BTN),"May 26, 2026",33,60,short
TQK2pA1uXfQ,Sesión nl200. DECISIONES IMPOSIBLES!,"May 26, 2026",2125,73,video
HwD2YGl_7_I,REVIENTA FISHES gracias a la estrategia de Ninjapoker!,"May 26, 2026",5255,70,video
5xm4DjK76jk,3b POTS CON INI! Donde están las claves del spot??,"May 26, 2026",3273,111,video
FrKLoM99K2g,Aislarse contra el fish: clave para ganar dinero,"May 24, 2026",75,21,short
